TRANSNR;LOTNT;MARKS;MARKS2;REF;REF2;BAGMARK;GRADE-GR;BAGSNR;WEIGHT-Kgr;SALENO;BAGSBOUGHTNR;WEIGHTBOUGHT-Kgr;BUYERCODE;PRICE;SEATNR;AUCTCODE;STATUS;ISODATE;SEASON;VALUE
355;1673;47SS1001/BULK;47SS1001/BULK;MH;21;1260;30;21;1260;238;110;57;17;1;05-Sep-17;2016-2017;2772;;;
356;1201;44NG1007/BULK;44NG1007/BULK;T;11;719;30;11;719;237;89;13;16;2;05-Sep-17;2016-2017;1279.82;;;
357;1202;44MT2012/BULK;44MT2012/BULK;T;11;707;30;11;707;39;116;39;16;2;05-Sep-17;2016-2017;1640.24;;;
358;1203;42LE0068/KITONGI/XBE24F01;42LE0068/KITONGI/XBE24F01/;XBE24F01;XBE24F01;42LE0068;T;51;3097;30;51;3097;39;118;39;16;2;05-Sep-17;2016-2017;7308.92
359;1204;46NG1011/BULK;46NG1011/BULK;T;6;425;30;0;0;21;50;0;16;2;05-Sep-17;2016-2017;0;;;
360;1205;46MT2010/BULK;46MT2010/BULK;T;4;296;30;4;296;39;129;39;16;2;05-Sep-17;2016-2017;763.68;;;
361;1206;44MT2015/BULK;44MT2015/BULK;TT;8;512;30;8;512;237;131;13;16;2;05-Sep-17;2016-2017;1341.44;;;
362;1207;46MT2011/BULK;46MT2011/BULK;TT;6;380;30;6;380;237;134;13;16;2;05-Sep-17;2016-2017;1018.4;;;
363;1208;44MT2013/BULK;44MT2013/BULK;TT;6;425;30;6;425;237;136;13;16;2;05-Sep-17;2016-2017;1156;;;
364;1209;46MT2012/BULK;46MT2012/BULK;TT;13;780;30;13;780;47;232;13;16;1;05-Sep-17;2016-2017;3619.2;;;
365;1210;44MT2014/BULK;44MT2014/BULK;TT;6;378;30;6;378;237;202;13;16;2;05-Sep-17;2016-2017;1527.12;;;
366;1211;46NG1008/BULK;46NG1008/BULK;C;38;2345;30;38;2345;237;191;13;16;2;05-Sep-17;2016-2017;8957.9;;;
367;1212;46NG0041/CHANIA BRIDGE/AB0008;46NG0041/CHANIABRIDGE/AB0008/;AB0008;AB0008;46NG0041;C;56;3390;30;56;3390;237;192;13;16;2;05-Sep-17;2016-2017;13017.6
368;1213;44NG3001/TWIN RIVER 2/AB0259;44NG3001/TWINRIVER2/AB0259/;AB0259;AB0259;44NG3001;C;45;2754;30;45;2754;52;135;52;16;2;05-Sep-17;2016-2017;7435.8
369;1214;43NG0023/KIGANDA/AB0034;43NG0023/KIGANDA/AB0034/;AB0034;AB0034;43NG0023;C;34;2072;30;34;2072;52;153;52;16;2;05-Sep-17;2016-2017;6340.32
370;1215;44NG1007/BULK;44NG1007/BULK;C;22;1383;30;22;1383;52;169;52;16;2;05-Sep-17;2016-2017;4674.54;;;
371;1216;46NG1011/BULK;46NG1011/BULK;C;54;3271;30;54;3271;237;233;13;16;1;05-Sep-17;2016-2017;15242.86;;;
372;1217;43GS0014/KIONYO/XEA23F02;43GS0014/KIONYO/XEA23F02/;XEA23F02;XEA23F02;43GS0014;C;11;675;30;11;675;52;253;52;16;1;05-Sep-17;2016-2017;3415.5
373;1218;46NG0014/NDARUGU/AB0039;46NG0014/NDARUGU/AB0039/;AB0039;AB0039;46NG0014;C;93;5638;30;93;5638;39;259;39;16;1;05-Sep-17;2016-2017;29204.84
374;1219;44GS2400/BULK;44GS2400/BULK;C;42;2554;30;42;2554;52;259;52;16;1;05-Sep-17;2016-2017;13229.72;;;
375;1220;47GS2400/BULK;47GS2400/BULK;C;68;4147;30;68;4147;226;234;54;16;2;05-Sep-17;2016-2017;19407.96;;;
376;1221;41GS0039/KENYENYA/XEA17F01;41GS0039/KENYENYA/XEA17F01/;XEA17F01;XEA17F01;41GS0039;C;15;950;30;15;950;39;258;39;16;2;05-Sep-17;2016-2017;4902
377;1222;44NG0003/MUKUYUNI/XBE28F01;44NG0003/MUKUYUNI/XBE28F01/;XBE28F01;XBE28F01;44NG0003;C;45;2706;30;45;2706;52;268;52;16;1;05-Sep-17;2016-2017;14504.16
378;1223;46NG0040/CHANIA BRIDGE/AB0008;46NG0040/CHANIABRIDGE/AB0008/;AB0008;AB0008;46NG0040;C;51;3119;30;51;3119;39;253;39;16;2;05-Sep-17;2016-2017;15782.14
379;1224;46NG1012/BULK;46NG1012/BULK;C;64;3869;30;64;3869;52;254;52;16;2;05-Sep-17;2016-2017;19654.52;;;
380;1225;42NG0043/IYEGO/XAB13F01;42NG0043/IYEGO/XAB13F01/;XAB13F01;XAB13F01;42NG0043;C;55;3330;30;55;3330;78;263;78;16;2;05-Sep-17;2016-2017;17515.8
381;1226;46NG1004/THANGA-INI FCS/XAB20;46NG1004/THANGA-INIFCS/XAB20/;XAB20;XAB20;46NG1004;C;63;3792;30;63;3792;52;263;52;16;2;05-Sep-17;2016-2017;19945.92
382;1227;46NG1008/BULK;46NG1008/BULK;AB;10;641;30;10;641;74;237;74;16;1;05-Sep-17;2016-2017;3038.34;;;
383;1228;46NG0041/CHANIA BRIDGE/AB0008;46NG0041/CHANIABRIDGE/AB0008/;AB0008;AB0008;46NG0041;AB;11;709;30;11;709;62;272;62;16;1;05-Sep-17;2016-2017;3856.96
384;1229;46MT2013/BULK;46MT2013/BULK;AB;15;911;30;15;911;51;145;51;16;2;05-Sep-17;2016-2017;2641.9;;;
385;1230;44NG0051/MUHUGU/AA0050;44NG0051/MUHUGU/AA0050/;AA0050;AA0050;44NG0051;AB;5;318;30;5;318;62;235;62;16;2;05-Sep-17;2016-2017;1494.6
386;1231;44NG1007/BULK;44NG1007/BULK;AB;8;513;30;8;513;39;229;39;16;2;05-Sep-17;2016-2017;2349.54;;;
387;1232;46NG1011/BULK;46NG1011/BULK;AB;88;5339;30;88;5339;74;234;74;16;2;05-Sep-17;2016-2017;24986.52;;;
388;1233;46MT2004/BULK;46MT2004/BULK;AB;7;482;30;7;482;78;234;78;16;2;05-Sep-17;2016-2017;2255.76;;;
389;1234;44GS2101/BULK;44GS2101/BULK;AB;38;2324;30;38;2324;39;278;39;16;1;05-Sep-17;2016-2017;12921.44;;;
390;1235;47GS2101/BULK;47GS2101/BULK;AB;57;3459;30;57;3459;39;282;39;16;1;05-Sep-17;2016-2017;19508.76;;;
391;1236;43GS0014/KIONYO/XEA23F02;43GS0014/KIONYO/XEA23F02/;XEA23F02;XEA23F02;43GS0014;AB;11;694;30;11;694;62;283;62;16;1;05-Sep-17;2016-2017;3928.04
392;1237;46NG1012/BULK;46NG1012/BULK;AB;20;1223;30;20;1223;237;283;13;16;1;05-Sep-17;2016-2017;6922.18;;;
393;1238;46NG0040/CHANIA BRIDGE/AB0008;46NG0040/CHANIABRIDGE/AB0008/;AB0008;AB0008;46NG0040;AB;10;664;30;10;664;237;284;13;16;1;05-Sep-17;2016-2017;3771.52
394;1239;46NG0014/NDARUGU/AB0039;46NG0014/NDARUGU/AB0039/;AB0039;AB0039;46NG0014;AB;32;1932;30;32;1932;238;284;57;16;1;05-Sep-17;2016-2017;10973.76
395;1240;46NG1004/THANGA-INI FCS/XAB20;46NG1004/THANGA-INIFCS/XAB20/;XAB20;XAB20;46NG1004;AB;21;1279;30;21;1279;238;283;57;16;2;05-Sep-17;2016-2017;7239.14
396;1241;42NG0043/IYEGO/XAB13F01;42NG0043/IYEGO/XAB13F01/;XAB13F01;XAB13F01;42NG0043;AB;30;1845;30;30;1845;78;283;78;16;2;05-Sep-17;2016-2017;10442.7
397;1242;46MT2007/BULK;46MT2007/BULK;PB;10;600;30;10;600;237;201;13;16;2;05-Sep-17;2016-2017;2412;;;
398;1243;46MT2006/BULK;46MT2006/BULK;PB;10;666;30;10;666;39;281;39;16;1;05-Sep-17;2016-2017;3742.92;;;
399;1244;46MT2008/BULK;46MT2008/BULK;PB;6;395;30;6;395;39;280;39;16;1;05-Sep-17;2016-2017;2212;;;
400;1245;46MT2009/BULK;46MT2009/BULK;PB;6;400;30;6;400;39;281;39;16;1;05-Sep-17;2016-2017;2248;;;
401;1246;46MT2002/BULK;46MT2002/BULK;AA;5;329;30;5;329;238;268;57;16;2;05-Sep-17;2016-2017;1763.44;;;
402;1247;46NG1011/BULK;46NG1011/BULK;AA;22;1351;30;22;1351;237;256;13;16;2;05-Sep-17;2016-2017;6917.12;;;
403;1248;46MT2014/BULK;46MT2014/BULK;AA;5;345;30;5;345;62;377;62;16;2;05-Sep-17;2016-2017;2601.3;;;
404;1249;44MT2009/BULK;44MT2009/BULK;AA;7;471;30;7;471;238;362;57;16;2;05-Sep-17;2016-2017;3410.04;;;
405;1250;46MT2001/BULK;46MT2001/BULK;AA;7;484;30;7;484;62;374;62;16;2;05-Sep-17;2016-2017;3620.32;;;
406;1251;46MT2003/BULK;46MT2003/BULK;AA;6;426;30;6;426;237;388;13;16;2;05-Sep-17;2016-2017;3305.76;;;
407;1252;44MT2007/BULK;44MT2007/BULK;UG3;9;576;30;9;576;237;62;13;16;2;05-Sep-17;2016-2017;714.24;;;
408;1253;44MT2008/BULK;44MT2008/BULK;UG3;9;560;30;9;560;237;71;13;16;1;05-Sep-17;2016-2017;795.2;;;
409;1254;40NG0014/IRIGITHATHI/AB0044;40NG0014/IRIGITHATHI/AB0044/;AB0044;AB0044;40NG0014;UG3;5;321;30;5;321;237;70;13;16;1;05-Sep-17;2016-2017;449.4
410;1255;40NG1004/NYAKIO/AB0015;40NG1004/NYAKIO/AB0015/;AB0015;AB0015;40NG1004;UG3;6;412;30;6;412;237;71;13;16;1;05-Sep-17;2016-2017;585.04
411;1256;46NG1010/NYAKIO/AB0015;46NG1010/NYAKIO/AB0015/;AB0015;AB0015;46NG1010;UG3;11;727;30;11;727;237;70;13;16;2;05-Sep-17;2016-2017;1017.8
412;1257;46MT2018/BULK;46MT2018/BULK;UG3;5;320;30;5;320;21;31;21;16;2;05-Sep-17;2016-2017;198.4;;;
413;1258;46MT2017/BULK;46MT2017/BULK;UG2;6;410;30;6;410;238;91;57;16;2;05-Sep-17;2016-2017;746.2;;;
414;1259;46NG1009/BULK;46NG1009/BULK;UG2;9;576;30;9;576;52;136;52;16;1;05-Sep-17;2016-2017;1566.72;;;
415;1260;46NG1010/NYAKIO/AB0015;46NG1010/NYAKIO/AB0015/;AB0015;AB0015;46NG1010;UG1;10;639;30;10;639;39;134;39;16;2;05-Sep-17;2016-2017;1712.52
416;1261;44MT4001/NKG;44MT4001/NKG;UG;30;1800;30;30;1800;51;156;51;16;2;05-Sep-17;2016-2017;5616;;;
417;1262;42MT2005/BULK;42MT2005/BULK;HE;8;494;30;8;494;237;71;13;16;1;05-Sep-17;2016-2017;701.48;;;
418;1263;46NG1009/BULK;46NG1009/BULK;HE;6;383;30;6;383;21;100;21;16;1;05-Sep-17;2016-2017;766;;;
419;1264;46MT2015/BULK;46MT2015/BULK;HE;6;397;30;6;397;74;112;74;16;1;05-Sep-17;2016-2017;889.28;;;
420;1265;44MT2011/BULK;44MT2011/BULK;HE;13;844;30;13;844;74;96;74;16;2;05-Sep-17;2016-2017;1620.48;;;
421;1266;46MT2005/BULK;46MT2005/BULK;HE;5;335;30;5;335;21;100;21;16;2;05-Sep-17;2016-2017;670;;;
422;1267;44MT2010/BULK;44MT2010/BULK;HE;7;472;30;7;472;52;135;52;16;1;05-Sep-17;2016-2017;1274.4;;;
423;1268;43MT2006/BULK;43MT2006/BULK;HE;33;1980;30;33;1980;160;106;40;16;2;05-Sep-17;2016-2017;4197.6;;;
424;1269;44NG0051/MUHUGU/AA0050;44NG0051/MUHUGU/AA0050/;AA0050;AA0050;44NG0051;T;12;757;30;12;757;21;31;21;16;2;05-Sep-17;2016-2017;469.34
425;1270;44NG3001/TWIN RIVER 2/AB0259;44NG3001/TWINRIVER2/AB0259/;AB0259;AB0259;44NG3001;T;21;1268;30;21;1268;39;91;39;16;1;05-Sep-17;2016-2017;2307.76
426;1271;46NG1009/BULK;46NG1009/BULK;T;38;2301;30;38;2301;160;91;40;16;1;05-Sep-17;2016-2017;4187.82;;;
427;1272;46NG0041/CHANIA BRIDGE/AB0008;46NG0041/CHANIABRIDGE/AB0008/;AB0008;AB0008;46NG0041;T;9;549;30;9;549;237;131;13;16;1;05-Sep-17;2016-2017;1438.38
428;1273;44NG0051/MUHUGU/AA0050;44NG0051/MUHUGU/AA0050/;AA0050;AA0050;44NG0051;C;56;3374;30;56;3374;237;130;13;16;2;05-Sep-17;2016-2017;8772.4
429;2001;38KF0001/BENDOR/AB 0003;38KF0001/BENDOR/AB0003/;AB0003;AB0003;38KF0001;T;19;1179;30;19;1179;237;140;13;19;2;05-Sep-17;2016-2017;3301.2
430;2002;45CK2003/T/BULK;45CK2003/T/BULK/;BULK;BULK;45CK2003;T;44;2678;30;44;2678;160;132;40;19;2;05-Sep-17;2016-2017;7069.92
431;2003;33MC2005/TT/BULK;33MC2005/TT/BULK/;BULK;BULK;33MC2005;TT;14;898;30;14;898;237;238;13;19;2;05-Sep-17;2016-2017;4274.48
432;2004;46CK2004/TT/ BULK;46CK2004/TT/BULK/;BULK;BULK;46CK2004;TT;18;1098;30;18;1098;238;237;57;19;2;05-Sep-17;2016-2017;5204.52
433;2005;33MC2001/C/BULK;33MC2001/C/BULK/;BULK;BULK;33MC2001;C;8;531;30;8;531;237;131;13;19;2;05-Sep-17;2016-2017;1391.22
434;2006;42MC2000/C/BULK;42MC2000/C/BULK/;BULK;BULK;42MC2000;C;10;600;30;10;600;237;130;13;19;2;05-Sep-17;2016-2017;1560
435;2007;46CK1002/P/BULK;46CK1002/P/BULK/;BULK;BULK;46CK1002;C;37;2251;30;37;2251;78;258;78;19;2;05-Sep-17;2016-2017;11615.16
436;2008;45CK1001/P/BULK;45CK1001/P/BULK/;BULK;BULK;45CK1001;C;33;2035;30;33;2035;237;133;13;19;2;05-Sep-17;2016-2017;5413.1
437;2009;45CK1002/P/BULK;45CK1002/P/BULK/;BULK;BULK;45CK1002;C;10;630;30;10;630;237;132;13;19;2;05-Sep-17;2016-2017;1663.2
438;2010;45CK1003/P/BULK;45CK1003/P/BULK/;BULK;BULK;45CK1003;C;20;1251;30;20;1251;160;138;40;19;2;05-Sep-17;2016-2017;3452.76
439;2011;45CK1000/P/BULK;45CK1000/P/BULK/;BULK;BULK;45CK1000;C;102;6131;30;102;6131;78;251;78;19;2;05-Sep-17;2016-2017;30777.62
440;2012;45CK1005/P/BULK;45CK1005/P/BULK/;BULK;BULK;45CK1005;C;47;2873;30;47;2873;160;259;40;19;2;05-Sep-17;2016-2017;14882.14
441;2013;44CK0158/UNJA/XBB071F02;44CK0158/UNJA/XBB071F02/;XBB071F02;XBB071F02;44CK0158;C;20;1220;30;20;1220;19;262;19;19;2;05-Sep-17;2016-2017;6392.8
442;2014;44CK0114/MUTINDWA/XBC006;44CK0114/MUTINDWA/XBC006/;XBC006;XBC006;44CK0114;C;73;4421;30;73;4421;74;250;74;19;2;05-Sep-17;2016-2017;22105
443;2015;44CK0156/KARURUMONE/XBB071F01;44CK0156/KARURUMONE/XBB071F01/;XBB071F01;XBB071F01;44CK0156;C;22;1367;30;22;1367;19;261;19;19;2;05-Sep-17;2016-2017;7135.74
444;2016;44CK0163/MAARA/XBC028F01;44CK0163/MAARA/XBC028F01/;XBC028F01;XBC028F01;44CK0163;C;23;1402;30;23;1402;78;262;78;19;2;05-Sep-17;2016-2017;7346.48
445;2017;44CK0134/GACHUNGU/XBD011F02;44CK0134/GACHUNGU/XBD011F02/;XBD011F02;XBD011F02;44CK0134;C;29;1740;30;29;1740;238;248;57;19;2;05-Sep-17;2016-2017;8630.4
446;2018;44CK0086/MAURA/XBB065F02;44CK0086/MAURA/XBB065F02/;XBB065F02;XBB065F02;44CK0086;C;30;1832;30;30;1832;78;261;78;19;2;05-Sep-17;2016-2017;9563.04
447;2019;44CK1013/P/BULK;44CK1013/P/BULK/;BULK;BULK;44CK1013;C;36;2210;30;36;2210;237;151;13;19;2;05-Sep-17;2016-2017;6674.2
448;2020;44CK0108/KATHITHIUKU/XBC010F02;44CK0108/KATHITHIUKU/XBC010F02/;XBC010F02;XBC010F02;44CK0108;C;39;2366;30;39;2366;78;244;78;19;2;05-Sep-17;2016-2017;11546.08
449;2021;44CK0136/KAGURU/XBB030;44CK0136/KAGURU/XBB030/;XBB030;XBB030;44CK0136;C;29;1765;30;29;1765;238;259;57;19;2;05-Sep-17;2016-2017;9142.7
450;2022;44CK0137/KAGURU/XBB030;44CK0137/KAGURU/XBB030/;XBB030;XBB030;44CK0137;C;29;1779;30;29;1779;78;262;78;19;2;05-Sep-17;2016-2017;9321.96
451;2023;44CK0040/MUNANI/XBB 064 F01;44CK0040/MUNANI/XBB064F01/;XBB064F01;XBB064F01;44CK0040;C;31;1909;30;31;1909;78;261;78;19;2;05-Sep-17;2016-2017;9964.98
452;2024;46CK1002/P/BULK;46CK1002/P/BULK/;BULK;BULK;46CK1002;AB;64;3840;30;64;3840;52;293;52;19;2;05-Sep-17;2016-2017;22502.4
453;2025;45CK1000/P/BULK;45CK1000/P/BULK/;BULK;BULK;45CK1000;AB;51;3099;30;51;3099;78;292;78;19;2;05-Sep-17;2016-2017;18098.16
454;2026;45CK1001/P/BULK;45CK1001/P/BULK/;BULK;BULK;45CK1001;AB;13;838;30;13;838;39;288;39;19;2;05-Sep-17;2016-2017;4826.88
455;2027;44CK0108/KATHITHIUKU/XBC010F02;44CK0108/KATHITHIUKU/XBC010F02/;XBC010F02;XBC010F02;44CK0108;AB;13;813;30;13;813;39;288;39;19;2;05-Sep-17;2016-2017;4682.88
456;2028;45CK1005/P/BULK;45CK1005/P/BULK/;BULK;BULK;45CK1005;AB;38;2280;30;38;2280;238;282;57;19;2;05-Sep-17;2016-2017;12859.2
457;2029;44CK1013/P/BULK;44CK1013/P/BULK/;BULK;BULK;44CK1013;AB;15;954;30;15;954;39;286;39;19;2;05-Sep-17;2016-2017;5456.88
458;2030;44CK0134/GACHUNGU/XBD011F02;44CK0134/GACHUNGU/XBD011F02/;XBD011F02;XBD011F02;44CK0134;AB;16;971;30;16;971;78;289;78;19;2;05-Sep-17;2016-2017;5612.38
459;2031;44CK0086/MAURA/XBB065F02;44CK0086/MAURA/XBB065F02/;XBB065F02;XBB065F02;44CK0086;AB;17;1028;30;17;1028;39;294;39;19;2;05-Sep-17;2016-2017;6044.64
460;2032;44CK0163/MAARA/XBC028F01;44CK0163/MAARA/XBC028F01/;XBC028F01;XBC028F01;44CK0163;AB;18;1088;30;18;1088;62;288;62;19;2;05-Sep-17;2016-2017;6266.88
461;2033;44CK0158/UNJA/XBB071F02;44CK0158/UNJA/XBB071F02/;XBB071F02;XBB071F02;44CK0158;AB;28;1735;30;28;1735;238;287;57;19;2;05-Sep-17;2016-2017;9958.9
462;2034;44CK0156/KARURUMONE/XBB071F01;44CK0156/KARURUMONE/XBB071F01/;XBB071F01;XBB071F01;44CK0156;AB;51;3090;30;51;3090;39;286;39;19;2;05-Sep-17;2016-2017;17674.8
463;2035;44CK0136/KAGURU/XBB030;44CK0136/KAGURU/XBB030/;XBB030;XBB030;44CK0136;AB;40;2428;30;40;2428;39;286;39;19;2;05-Sep-17;2016-2017;13888.16
464;2036;44CK0137/KAGURU/XBB030;44CK0137/KAGURU/XBB030/;XBB030;XBB030;44CK0137;AB;40;2445;30;40;2445;39;295;39;19;2;05-Sep-17;2016-2017;14425.5
465;2037;44CK0114/MUTINDWA/XBC006;44CK0114/MUTINDWA/XBC006/;XBC006;XBC006;44CK0114;AB;61;3711;30;61;3711;78;292;78;19;2;05-Sep-17;2016-2017;21672.24
466;2038;44CK0040/MUNANI/XBB 064 F01;44CK0040/MUNANI/XBB064F01/;XBB064F01;XBB064F01;44CK0040;AB;50;3036;30;50;3036;78;286;78;19;2;05-Sep-17;2016-2017;17365.92
467;2039;33MC2003/PB/BULK;33MC2003/PB/BULK/;BULK;BULK;33MC2003;PB;5;340;30;5;340;39;258;39;19;2;05-Sep-17;2016-2017;1754.4
468;2040;43MC2010/PB/BULK;43MC2010/PB/BULK/;BULK;BULK;43MC2010;PB;6;394;30;6;394;74;235;74;19;2;05-Sep-17;2016-2017;1851.8
469;2041;45CK2002/PB/BULK;45CK2002/PB/BULK/;BULK;BULK;45CK2002;PB;25;1529;30;25;1529;78;288;78;19;2;05-Sep-17;2016-2017;8807.04
470;2042;45CK2001/AA/BULK;45CK2001/AA/BULK/;BULK;BULK;45CK2001;AA;21;1310;30;21;1310;237;311;13;19;2;05-Sep-17;2016-2017;8148.2
471;2044;33MC2002/AA/BULK;33MC2002/AA/BULK/;BULK;BULK;33MC2002;AA;12;743;30;12;743;237;291;13;19;2;05-Sep-17;2016-2017;4324.26
472;2045;44CK0156/KARURUMONE/XBB071F01;44CK0156/KARURUMONE/XBB071F01/;XBB071F01;XBB071F01;44CK0156;AA;12;737;30;12;737;78;383;62;19;2;05-Sep-17;2016-2017;5645.42
473;2046;44CK0136/KAGURU/XBB030;44CK0136/KAGURU/XBB030/;XBB030;XBB030;44CK0136;AA;10;617;30;10;617;62;380;62;19;2;05-Sep-17;2016-2017;4689.2
474;2047;44CK0140/KANDIGI/XBB064F02;44CK0140/KANDIGI/XBB064F02/;XBB064F02;XBB064F02;44CK0140;AA;10;621;30;10;621;160;395;40;19;2;05-Sep-17;2016-2017;4905.9
475;2048;44CK0062/RUGEJU/XBB064F03;44CK0062/RUGEJU/XBB064F03/;XBB064F03;XBB064F03;44CK0062;AA;15;957;30;15;957;78;388;78;19;2;05-Sep-17;2016-2017;7426.32
476;2049;43MC2008/UG1/BULK;43MC2008/UG1/BULK/;BULK;BULK;43MC2008;UG1;8;506;30;8;506;51;161;51;19;2;05-Sep-17;2016-2017;1629.32
477;2050;44CK0105/KIRUAI/XBB012F03;44CK0105/KIRUAI/XBB012F03/;XBB012F03;XBB012F03;44CK0105;UG2;19;1159;30;19;1159;160;131;40;19;2;05-Sep-17;2016-2017;3036.58
478;2051;43MC2009/UG2/BULK;43MC2009/UG2/BULK/;BULK;BULK;43MC2009;UG2;9;543;30;9;543;21;31;21;19;2;05-Sep-17;2016-2017;336.66
479;2052;45CK2004/HE/BULK;45CK2004/HE/BULK/;BULK;BULK;45CK2004;HE;19;981;30;19;981;237;98;13;19;2;05-Sep-17;2016-2017;1922.76
480;2053;30MC2019/HE/BULK;30MC2019/HE/BULK/;BULK;BULK;30MC2019;HE;14;897;30;14;897;74;106;74;19;2;05-Sep-17;2016-2017;1901.64
481;2054;36MC2000/HE/BULK;36MC2000/HE/BULK/;BULK;BULK;36MC2000;HE;5;326;30;5;326;74;105;74;19;2;05-Sep-17;2016-2017;684.6
482;2055;42MC2001/HE/BULK;42MC2001/HE/BULK/;BULK;BULK;42MC2001;HE;5;358;30;5;358;74;109;74;19;2;05-Sep-17;2016-2017;780.44
483;2056;46CK2002/T / BULK;46CK2002/T/BULK/;BULK;BULK;46CK2002;T;18;1107;30;18;1107;21;76;21;19;2;05-Sep-17;2016-2017;1682.64
484;2057;46CK2001/T / BULK;46CK2001/T/BULK/;BULK;BULK;46CK2001;T;53;2676;30;53;2676;237;102;13;19;2;05-Sep-17;2016-2017;5459.04
485;2058;44CK1012/P/BULK;44CK1012/P/BULK/;BULK;BULK;44CK1012;C;66;4008;30;66;4008;151;147;42;19;2;05-Sep-17;2016-2017;11783.52
486;2059;44CK0054/RWANKWARE/XBB 065 F03;44CK0054/RWANKWARE/XBB065F03/;XBB065F03;XBB065F03;44CK0054;C;33;2023;30;33;2023;151;146;42;19;2;05-Sep-17;2016-2017;5907.16
487;2060;44CK0112/GITWA/XBD 020;44CK0112/GITWA/XBD020/;XBD020;XBD020;44CK0112;C;15;942;30;15;942;21;132;21;19;2;05-Sep-17;2016-2017;2486.88
488;2061;44CK0116/MUTINDWA/XBC 006 F01;44CK0116/MUTINDWA/XBC006F01/;XBC006F01;XBC006F01;44CK0116;C;17;1049;30;17;1049;237;133;13;19;2;05-Sep-17;2016-2017;2790.34
489;2062;46CK0002/NUGU/XBB 064 F04;46CK0002/NUGU/XBB064F04/;XBB064F04;XBB064F04;46CK0002;C;12;763;30;12;763;151;140;42;19;2;05-Sep-17;2016-2017;2136.4
490;2063;44CK1012/P/BULK;44CK1012/P/BULK/;BULK;BULK;44CK1012;AB;20;1231;30;20;1231;238;235;57;19;2;05-Sep-17;2016-2017;5785.7
491;2064;44CK0112/GITWA/XBD 020;44CK0112/GITWA/XBD020/;XBD020;XBD020;44CK0112;AB;11;685;30;11;685;238;248;57;19;2;05-Sep-17;2016-2017;3397.6
492;2065;33MC2004/AA/BULK;33MC2004/AA/BULK/;BULK;BULK;33MC2004;AA;5;303;30;5;303;238;319;57;19;2;05-Sep-17;2016-2017;1933.14